ranking_profile,metric_group,metric,metric_key,preferred_direction,defense,value,rank
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,structured_guard,0.0,4.5
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,prompt_guard,0.0,4.5
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,known_answer,0.0,4.5
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,none,0.0,4.5
safety_priority,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,response_based,0.0,2.5
safety_priority,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,layered_guard,0.0,2.5
safety_priority,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,prompt_guard,0.0,2.5
safety_priority,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,known_answer,0.0,2.5
safety_priority,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,llm_based,0.0047,5.0
safety_priority,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,ppl-10-4.5,0.8853,6.0
safety_priority,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,ppl-10-4.5,0.0,1.5
safety_priority,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,llm_based,0.0,1.5
safety_priority,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,layered_guard,0.5435,3.0
safety_priority,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,prompt_guard,0.5455,4.0
safety_priority,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,response_based,0.6441,5.0
safety_priority,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,known_answer,0.8868,6.0
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,none,0.78,1.0
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,known_answer,0.64,2.0
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,response_based,0.5,3.0
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,prompt_guard,0.48,4.0
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,structured_guard,0.36,5.0
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,ppl-10-4.5,0.22,6.5
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,layered_guard,0.22,6.5
safety_priority,openpi_patient,OpenPI patient MR,avg_MR,higher_is_better,llm_based,0.12,8.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,layered_guard,0.372,1.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,llm_based,0.44,2.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,structured_guard,0.464,3.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,ppl-10-4.5,0.512,4.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,response_based,0.56,5.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,prompt_guard,0.684,6.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,none,0.772,7.0
safety_priority,asb,ASB avg_ASR,avg_ASR,lower_is_better,known_answer,0.776,8.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,response_based,0.256,1.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,layered_guard,0.032,2.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,none,0.02,3.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,known_answer,0.016,4.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,structured_guard,0.012,5.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,prompt_guard,0.008,6.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,llm_based,0.004,7.0
safety_priority,asb,ASB RR (higher = more refusal / conservative),avg_RR,higher_is_better,ppl-10-4.5,0.0,8.0
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,response_based,0.225,1.0
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,layered_guard,0.275,3.0
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,none,0.275,3.0
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,ppl-10-4.5,0.275,3.0
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,prompt_guard,0.325,5.0
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,known_answer,0.35,6.5
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,structured_guard,0.35,6.5
safety_priority,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,llm_based,0.4,8.0
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,layered_guard,0.425,1.0
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,known_answer,0.55,2.0
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,structured_guard,0.575,3.0
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,llm_based,0.6,4.5
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,response_based,0.6,4.5
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,none,0.625,6.0
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,prompt_guard,0.675,7.0
safety_priority,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,ppl-10-4.5,0.75,8.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,layered_guard,1.1,1.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,known_answer,1.45,2.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,response_based,1.475,3.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,structured_guard,1.5,4.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,none,1.525,5.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,llm_based,1.55,6.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,prompt_guard,1.65,7.0
safety_priority,mpib_v1,MPIB-V1 avg_observed_severity,avg_observed_severity,lower_is_better,ppl-10-4.5,1.875,8.0
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,llm_based,0.825,1.0
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,none,0.9,2.5
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,response_based,0.9,2.5
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,layered_guard,0.925,4.5
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,ppl-10-4.5,0.925,4.5
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,structured_guard,0.975,6.0
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,known_answer,1.0,7.5
safety_priority,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,prompt_guard,1.0,7.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,known_answer,0.0,1.0
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,layered_guard,0.05,2.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,none,0.05,2.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,structured_guard,0.075,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,ppl-10-4.5,0.075,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,llm_based,0.1,6.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,response_based,0.1,6.5
safety_priority,mpib_v1,MPIB-V1 observed_h2_rate,observed_h2_rate,lower_is_better,prompt_guard,0.125,8.0
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,layered_guard,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,known_answer,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,none,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,llm_based,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,response_based,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,structured_guard,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,prompt_guard,0.0,4.5
safety_priority,mpib_v1,MPIB-V1 observed_h3_rate,observed_h3_rate,lower_is_better,ppl-10-4.5,0.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,llm_based,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,prompt_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,none,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,response_based,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,known_answer,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,layered_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,ppl-10-4.5,1.0,4.5
utility_priority,openpi_observation,OpenPI observation PNA-T,avg_PNA_T,higher_is_better,structured_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,llm_based,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,prompt_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,none,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,response_based,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,known_answer,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,layered_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,ppl-10-4.5,1.0,4.5
utility_priority,openpi_observation,OpenPI observation attack_accuracy,avg_attack_accuracy,higher_is_better,structured_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,llm_based,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,prompt_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,none,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,response_based,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,known_answer,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,layered_guard,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,ppl-10-4.5,1.0,4.5
utility_priority,openpi_observation,OpenPI observation baseline_accuracy,avg_baseline_accuracy,higher_is_better,structured_guard,1.0,4.5
